Designator,Mid X,Mid Y,Rotation,Layer
R17,59.6205,-53.039,180.0,bottom
R18,97.7205,-53.039,180.0,bottom
R19,116.8975,-53.039,180.0,bottom
R2,193.6563,-147.654,180.0,bottom
R20,135.8205,-53.039,180.0,bottom
R21,154.9975,-53.039,180.0,bottom
R22,183.5725,-53.039,180.0,bottom
R23,202.6225,-53.039,180.0,bottom
R24,221.6725,-53.039,180.0,bottom
R25,240.7225,-53.039,180.0,bottom
R26,269.2975,-53.039,180.0,bottom
R27,288.3475,-53.039,180.0,bottom
R28,307.3975,-53.039,180.0,bottom
R29,326.4475,-53.039,180.0,bottom
R3,193.6563,-146.5618,180.0,bottom
R30,350.3235,-53.039,180.0,bottom
R31,369.3735,-53.039,180.0,bottom
R32,59.7475,-76.915,180.0,bottom
R33,78.7975,-76.915,180.0,bottom
R34,97.8475,-76.915,180.0,bottom
R35,116.8975,-76.915,180.0,bottom
R36,135.9475,-76.915,180.0,bottom
R37,155.1245,-76.915,180.0,bottom
R38,174.0475,-76.915,180.0,bottom
R39,193.2245,-76.915,180.0,bottom
R4,326.4475,-130.382,270.0,bottom
R40,212.1475,-76.915,180.0,bottom
R41,231.1975,-76.915,180.0,bottom
R42,250.3745,-76.915,180.0,bottom
R43,269.2975,-76.915,180.0,bottom
R44,288.3475,-76.915,180.0,bottom
R45,316.9225,-76.915,180.0,bottom
R46,350.3235,-76.915,180.0,bottom
R47,369.3735,-76.915,180.0,bottom
R48,64.5735,-95.965,180.0,bottom
R49,88.3225,-95.965,180.0,bottom
R5,199.0665,-147.781,0.0,bottom
R50,107.3725,-95.965,180.0,bottom
R51,126.4225,-95.965,180.0,bottom
R52,145.4725,-95.965,180.0,bottom
R53,164.5225,-95.965,180.0,bottom
R54,183.5725,-95.965,180.0,bottom
R55,202.7495,-95.965,180.0,bottom
R56,221.7995,-95.965,180.0,bottom
R57,240.8495,-95.965,180.0,bottom
R58,259.8995,-95.965,180.0,bottom
R59,278.9495,-95.965,180.0,bottom
R6,198.0505,-143.717,0.0,bottom
R60,297.9995,-95.965,180.0,bottom
R61,321.7485,-95.965,180.0,bottom
R62,350.3235,-95.965,180.0,bottom
R63,369.3735,-95.965,180.0,bottom
R64,66.9865,-115.015,180.0,bottom
R65,93.1485,-115.015,180.0,bottom
R66,112.1985,-115.015,180.0,bottom
R67,131.2485,-115.015,180.0,bottom
R68,150.2985,-115.015,180.0,bottom
R69,169.3485,-115.015,180.0,bottom
R7,152.3305,-148.035,270.0,bottom
R70,188.3985,-115.015,180.0,bottom
R71,207.4485,-115.015,180.0,bottom
R72,226.4985,-115.015,180.0,bottom
R73,245.5485,-115.015,180.0,bottom
R74,264.5985,-115.015,180.0,bottom
R75,283.6485,-115.015,180.0,bottom
R76,314.5095,-115.015,180.0,bottom
R77,71.5585,-134.065,180.0,bottom
R78,102.6735,-134.065,180.0,bottom
R79,121.7235,-134.065,180.0,bottom
R8,158.2995,-144.098,270.0,bottom
R80,140.7735,-134.065,180.0,bottom
R81,159.8235,-134.065,180.0,bottom
R82,178.8735,-134.065,180.0,bottom
R83,197.9235,-134.065,180.0,bottom
R84,216.9735,-134.065,180.0,bottom
R85,236.0235,-134.065,180.0,bottom
R86,255.0735,-134.065,180.0,bottom
R87,274.1235,-133.938,180.0,bottom
R88,309.6835,-134.065,180.0,bottom
R89,350.3235,-134.065,180.0,bottom
R9,334.0675,-123.269,270.0,bottom
R90,62.2875,-153.115,180.0,bottom
R91,86.0365,-153.115,180.0,bottom
R92,109.7855,-153.115,180.0,bottom
R93,180.1435,-153.814,270.0,bottom
R94,252.6605,-153.115,180.0,bottom
R95,276.5365,-153.0642,180.0,bottom
